"elevation","aspect","slope","horizontal_distance_to_hydrology","vertical_distance_to_hydrology","horizontal_distance_to_roadways","hillshade_9am","hillshade_noon","hillshade_3pm","horizontal_distance_to_fire_points","wilderness_area","soil_type","lodgepole_pine"
2511,92,7,182,18,722,231,229,131,5494,"wilderness_area_1","soil_type_18","0"
2880,86,12,30,3,4369,237,221,113,5906,"wilderness_area_1","soil_type_30","1"
2733,133,16,228,79,1590,244,231,111,878,"wilderness_area_1","soil_type_30","0"
2858,125,8,268,7,3288,233,235,134,3034,"wilderness_area_1","soil_type_12","1"
2821,72,20,90,20,2889,238,198,82,2247,"wilderness_area_1","soil_type_29","0"
2744,122,19,30,1,2742,248,222,94,2232,"wilderness_area_1","soil_type_29","0"
2593,7,8,85,-5,335,211,225,151,1279,"wilderness_area_1","soil_type_29","1"
2598,327,7,30,0,582,204,233,168,1482,"wilderness_area_1","soil_type_20","1"
2929,44,16,591,65,2698,222,204,112,1911,"wilderness_area_1","soil_type_29","1"
2954,160,13,390,51,3012,233,242,137,1608,"wilderness_area_1","soil_type_12","1"
2916,228,12,67,7,4975,202,251,185,1507,"wilderness_area_1","soil_type_30","1"
2666,63,14,212,19,1176,232,211,109,228,"wilderness_area_1","soil_type_23","1"
2913,321,16,95,14,4784,178,223,184,1771,"wilderness_area_1","soil_type_23","0"
2920,295,9,42,5,4833,195,238,182,1889,"wilderness_area_1","soil_type_23","0"
2948,79,15,120,24,5493,239,211,99,1608,"wilderness_area_1","soil_type_30","0"
2954,38,5,30,6,4666,220,228,144,2285,"wilderness_area_1","soil_type_23","0"
3241,202,12,277,50,3571,214,251,169,3204,"wilderness_area_1","soil_type_30","0"
2679,66,11,108,9,1235,231,217,117,1879,"wilderness_area_1","soil_type_23","1"
2728,88,14,240,40,242,241,215,101,2424,"wilderness_area_1","soil_type_29","0"
2850,61,20,577,176,603,232,196,88,2442,"wilderness_area_1","soil_type_24","0"
2809,75,16,443,146,457,238,207,95,2227,"wilderness_area_1","soil_type_24","0"
3191,81,5,457,15,4686,226,231,140,2224,"wilderness_area_1","soil_type_29","1"
2784,55,25,309,105,324,226,178,71,1922,"wilderness_area_1","soil_type_29","0"
2740,59,23,190,68,212,230,184,75,1761,"wilderness_area_1","soil_type_29","0"
2743,62,26,180,71,201,231,176,62,1710,"wilderness_area_1","soil_type_29","0"
3183,28,8,331,-30,2952,217,223,141,1315,"wilderness_area_1","soil_type_29","1"
3090,36,6,60,3,4825,220,226,143,1383,"wilderness_area_1","soil_type_22","0"
2724,93,26,124,-35,150,250,191,53,2295,"wilderness_area_1","soil_type_30","0"
2780,346,13,90,29,1383,195,219,162,2248,"wilderness_area_3","soil_type_32","1"
2736,73,29,162,98,175,239,172,44,1600,"wilderness_area_1","soil_type_30","0"
2577,323,10,150,58,875,194,230,175,1159,"wilderness_area_3","soil_type_10","0"
2570,345,12,124,42,859,196,221,163,1222,"wilderness_area_3","soil_type_11","0"
2172,325,20,313,170,420,167,214,185,95,"wilderness_area_4","soil_type_5","0"
2726,308,27,342,167,1107,137,212,210,751,"wilderness_area_3","soil_type_33","0"
2006,79,16,0,0,192,240,209,95,339,"wilderness_area_4","soil_type_17","0"
3317,101,14,127,24,2355,242,221,106,2696,"wilderness_area_1","soil_type_39","0"
2671,309,26,120,42,1531,141,213,208,1650,"wilderness_area_3","soil_type_13","0"
2917,130,4,150,35,1177,226,237,145,2359,"wilderness_area_3","soil_type_31","1"
1906,356,20,150,55,120,184,201,151,726,"wilderness_area_4","soil_type_2","0"
1944,339,30,240,93,210,142,181,169,815,"wilderness_area_4","soil_type_5","0"
2800,114,15,240,13,541,244,224,106,277,"wilderness_area_1","soil_type_30","0"
2739,32,16,175,44,1140,215,204,122,454,"wilderness_area_3","soil_type_33","0"
2812,336,20,108,17,1617,170,207,174,1725,"wilderness_area_3","soil_type_13","0"
2053,48,11,30,0,983,224,215,123,424,"wilderness_area_4","soil_type_17","0"
2147,110,31,342,203,365,254,190,39,361,"wilderness_area_4","soil_type_1","0"
2141,18,30,218,-39,722,182,163,103,671,"wilderness_area_4","soil_type_10","0"
1918,321,28,42,17,85,139,201,196,402,"wilderness_area_4","soil_type_10","0"
2935,282,8,0,0,1812,198,241,182,1348,"wilderness_area_3","soil_type_32","0"
2246,22,28,371,65,842,190,168,102,864,"wilderness_area_4","soil_type_10","0"
2719,53,18,30,11,1092,227,198,98,1348,"wilderness_area_3","soil_type_23","0"
2110,107,32,108,59,503,254,183,30,162,"wilderness_area_4","soil_type_3","0"
2151,351,18,210,87,495,186,207,158,446,"wilderness_area_4","soil_type_10","0"
2997,279,12,360,83,1489,186,242,195,1470,"wilderness_area_3","soil_type_31","1"
2342,180,12,258,48,914,224,247,154,514,"wilderness_area_4","soil_type_6","0"
2431,280,22,390,135,330,156,237,218,886,"wilderness_area_4","soil_type_11","0"
2155,347,9,30,-3,942,204,226,161,847,"wilderness_area_4","soil_type_14","0"
2162,322,16,30,9,993,179,223,183,752,"wilderness_area_4","soil_type_10","0"
2317,27,23,134,54,1140,203,183,107,805,"wilderness_area_4","soil_type_5","0"
3209,62,18,42,9,3840,233,199,92,2967,"wilderness_area_1","soil_type_39","0"
2126,72,10,0,0,1140,232,220,119,1448,"wilderness_area_4","soil_type_17","0"
2117,88,17,30,2,1127,243,211,92,1431,"wilderness_area_4","soil_type_17","0"
2249,134,26,175,91,1416,250,217,78,811,"wilderness_area_4","soil_type_3","0"
2132,106,16,30,6,1275,246,219,97,624,"wilderness_area_4","soil_type_3","0"
2238,139,24,124,75,1379,248,224,90,914,"wilderness_area_4","soil_type_3","0"
2897,223,8,90,13,1610,210,248,174,1543,"wilderness_area_3","soil_type_32","0"
2169,338,11,0,0,1224,195,224,168,819,"wilderness_area_4","soil_type_17","0"
2248,303,31,95,37,1342,120,208,220,691,"wilderness_area_4","soil_type_10","0"
2318,80,12,30,7,1230,236,219,113,134,"wilderness_area_4","soil_type_6","0"
2325,28,12,0,0,1260,215,213,133,162,"wilderness_area_4","soil_type_6","0"
2324,2,30,242,180,1101,165,170,130,1398,"wilderness_area_4","soil_type_10","0"
2873,1,11,90,46,1950,204,219,152,1189,"wilderness_area_3","soil_type_23","0"
2898,27,6,150,7,1865,217,226,145,1509,"wilderness_area_3","soil_type_32","0"
2268,122,24,170,75,979,252,213,73,1321,"wilderness_area_4","soil_type_3","0"
2233,307,30,255,145,830,124,206,215,967,"wilderness_area_4","soil_type_10","0"
2217,120,25,67,24,955,253,209,67,1337,"wilderness_area_4","soil_type_3","0"
2207,121,21,42,14,976,250,218,85,1315,"wilderness_area_4","soil_type_3","0"
2389,300,15,212,61,1530,176,232,196,430,"wilderness_area_4","soil_type_10","0"
2439,270,18,361,110,1528,170,243,211,495,"wilderness_area_4","soil_type_6","0"
2263,277,15,85,30,1614,178,242,203,849,"wilderness_area_4","soil_type_2","0"
3204,65,36,540,208,696,227,146,21,1976,"wilderness_area_1","soil_type_30","0"
2892,143,15,256,79,2106,240,235,120,1106,"wilderness_area_3","soil_type_32","0"
2245,42,12,0,0,1572,222,213,125,990,"wilderness_area_4","soil_type_17","0"
2908,282,20,182,44,953,161,237,214,1003,"wilderness_area_3","soil_type_32","1"
2253,111,25,30,12,376,253,204,63,1822,"wilderness_area_4","soil_type_3","0"
2444,314,13,258,68,957,184,229,185,960,"wilderness_area_4","soil_type_6","0"
2435,344,16,391,165,933,187,214,165,947,"wilderness_area_4","soil_type_6","0"
2440,351,16,362,170,891,189,211,158,888,"wilderness_area_4","soil_type_6","0"
2446,344,17,30,5,552,184,212,165,1317,"wilderness_area_4","soil_type_16","0"
2478,264,7,366,91,810,202,244,181,277,"wilderness_area_4","soil_type_2","0"
2477,316,14,277,77,840,183,228,184,175,"wilderness_area_4","soil_type_2","0"
2424,82,18,180,66,730,242,206,87,1401,"wilderness_area_4","soil_type_6","0"
2365,320,4,0,0,765,210,236,164,1572,"wilderness_area_4","soil_type_11","0"
2510,355,15,258,72,1036,193,211,155,390,"wilderness_area_4","soil_type_6","0"
2451,12,18,319,67,537,200,202,135,1179,"wilderness_area_4","soil_type_10","0"
2332,90,9,0,0,319,234,226,123,1276,"wilderness_area_4","soil_type_14","0"
2954,155,17,450,116,713,238,239,126,2096,"wilderness_area_3","soil_type_33","0"
2406,17,28,95,56,1015,186,171,110,725,"wilderness_area_4","soil_type_10","0"
2394,125,16,124,38,671,246,226,104,1273,"wilderness_area_4","soil_type_1","0"
3537,137,13,306,103,2730,239,235,123,2106,"wilderness_area_1","soil_type_40","0"
